,Strategy,Number of addresses,Number of accesses in loop,Different addresses in loop,Step size,Mirrored,Rate,Average runtime
303,12-9-3-1-m,12,9,3,1,False,0.05001500450135041,4595.446567940765
304,12-9-4-1-m,12,9,4,1,False,0.040008001600320066,5199.316758379189
305,12-9-5-1-m,12,9,5,1,False,0.0,12880.0786415548
306,12-9-6-1-m,12,9,6,1,False,0.16003200640128026,14177.806380638063
307,12-9-7-1-m,12,9,7,1,False,0.16001600160016002,14288.981285028023
308,12-9-8-1-m,12,9,8,1,False,0.0,13633.213648662191
309,12-9-9-1-m,12,9,9,1,False,0.2900580116023205,12327.527037852995
310,13-1-1-1-m,13,1,1,1,False,0.0,1384.0874349739895
311,13-1-10-1-m,13,1,10,1,False,0.1000100010001,2397.3089308930894
312,13-1-2-1-m,13,1,2,1,False,0.13005202080832332,1403.619323864773
313,13-1-3-1-m,13,1,3,1,False,0.2200660198059418,1569.1277383214965
314,13-1-4-1-m,13,1,4,1,False,1.6603320664132826,1689.185855756727
315,13-1-5-1-m,13,1,5,1,False,0.15001500150015,1734.3083541770886
316,13-1-6-1-m,13,1,6,1,False,0.1200600300150075,2629.074622386716
317,13-1-7-1-m,13,1,7,1,False,0.15001500150015,2685.5769730919274
318,13-1-8-1-m,13,1,8,1,False,0.05001000200040008,2634.8132626525303
319,13-1-9-1-m,13,1,9,1,False,0.8201640328065612,2552.168484242121
320,13-10-1-1-m,13,10,1,1,False,0.19001900190019003,2491.364555188632
321,13-10-10-1-m,13,10,10,1,False,0.2704597816287689,15027.204367862152
322,13-10-2-1-m,13,10,2,1,False,0.0,3418.7791895947976
323,13-10-3-1-m,13,10,3,1,False,0.09001800360072014,5524.668768137696
324,13-10-4-1-m,13,10,4,1,False,0.09001800360072014,6310.433346677341
325,13-10-5-1-m,13,10,5,1,False,0.4500900180036007,15916.8852360429
326,13-10-6-1-m,13,10,6,1,False,0.0,17735.722850565508
327,13-10-7-1-m,13,10,7,1,False,0.2000200020002,18180.01533066132
328,13-10-8-1-m,13,10,8,1,False,0.040024014408645184,17797.045518347702
329,13-10-9-1-m,13,10,9,1,False,0.14002800560112022,16834.764399479114
330,13-2-1-1-m,13,2,1,1,False,0.14002800560112022,1400.4247123561781
331,13-2-10-1-m,13,2,10,1,False,0.26005201040208037,3795.7269180754224
332,13-2-2-1-m,13,2,2,1,False,0.07000700070007,1482.73524704941
333,13-2-3-1-m,13,2,3,1,False,0.11002200440088017,2094.1229737842705
334,13-2-4-1-m,13,2,4,1,False,0.21004200840168036,2172.8495097058235
335,13-2-5-1-m,13,2,5,1,False,0.10002000400080016,3281.6359635963595
336,13-2-6-1-m,13,2,6,1,False,0.22002200220022,4278.812349879904
337,13-2-7-1-m,13,2,7,1,False,0.26002600260026004,4377.782869721833
338,13-2-8-1-m,13,2,8,1,False,0.23006902070621185,4314.632943060142
339,13-2-9-1-m,13,2,9,1,False,0.020004000800160033,4123.109798818937
340,13-3-1-1-m,13,3,1,1,False,0.0,1460.2291458291659
341,13-3-10-1-m,13,3,10,1,False,0.28005601120224044,5221.247448469081
342,13-3-2-1-m,13,3,2,1,False,0.0,1783.2972594518903
343,13-3-3-1-m,13,3,3,1,False,0.20006001800540163,2517.919275782735
344,13-3-4-1-m,13,3,4,1,False,0.08001600320064013,2758.018301830183
345,13-3-5-1-m,13,3,5,1,False,0.12002400480096019,4978.721004703292
346,13-3-6-1-m,13,3,6,1,False,0.24002400240024005,5997.409350285314
347,13-3-7-1-m,13,3,7,1,False,0.21004200840168036,6186.738643185911
348,13-3-8-1-m,13,3,8,1,False,0.39003900390039004,6066.8619171502905
349,13-3-9-1-m,13,3,9,1,False,0.31003100310031007,5732.653957770439
350,13-4-1-1-m,13,4,1,1,False,0.2000200020002,1587.005500550055
351,13-4-10-1-m,13,4,10,1,False,0.3000300030003,6651.567840704422
352,13-4-2-1-m,13,4,2,1,False,1.0101010101010102,1983.344172086043
353,13-4-3-1-m,13,4,3,1,False,0.1000100010001,2958.9499949995
354,13-4-4-1-m,13,4,4,1,False,0.21002100210021002,3270.3784892446224
